Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
akun,Chrome 121.0.0.0,,,12-02-2024 14:18:04,12-02-2024 14:19:33,1m - 29.087s,PASSED
,,,,,,,
Test Cases/positive/akun/login,Chrome 121.0.0.0,,,12-02-2024 14:18:04,12-02-2024 14:18:51,46.271s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 14:18:05,12-02-2024 14:18:08,3.331s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 14:18:08,12-02-2024 14:18:13,4.575s,PASSED
"click(findTestObject(""Object Repository/login/Page_Advantage Shopping/path_CHECKOUT  (0.00)_menuUserSVGPath""))",Chrome 121.0.0.0,,,12-02-2024 14:18:13,12-02-2024 14:18:45,32.032s,PASSED
"setText(findTestObject(""Object Repository/login/Page_Advantage Shopping/input_OR_username""), ""claelynt"")",Chrome 121.0.0.0,,,12-02-2024 14:18:45,12-02-2024 14:18:46,1.146s,PASSED
"setEncryptedText(findTestObject(""Object Repository/login/Page_Advantage Shopping/input_Username_password""), ""eORqx8DpZuw="")",Chrome 121.0.0.0,,,12-02-2024 14:18:46,12-02-2024 14:18:47,1.288s,PASSED
"click(findTestObject(""Object Repository/login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,12-02-2024 14:18:47,12-02-2024 14:18:48,0.698s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 14:18:48,12-02-2024 14:18:49,0.340s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 14:18:51,12-02-2024 14:18:51,0.002s,PASSED
,,,,,,,
Test Cases/positive/akun/register,Chrome 121.0.0.0,,,12-02-2024 14:18:51,12-02-2024 14:19:33,42.057s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 14:18:51,12-02-2024 14:18:52,1.147s,PASSED
