Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pencarian_negative,Chrome 121.0.0.0,,,12-02-2024 14:11:11,12-02-2024 14:11:53,42.010s,PASSED
,,,,,,,
Test Cases/negative/pencarian/pencarian_notfound,Chrome 121.0.0.0,,,12-02-2024 14:11:11,12-02-2024 14:11:53,41.553s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 14:11:12,12-02-2024 14:11:16,3.218s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 14:11:16,12-02-2024 14:11:16,0.162s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 14:11:16,12-02-2024 14:11:20,4.190s,PASSED
"click(findTestObject(""Object Repository/negative/input not found/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 14:11:20,12-02-2024 14:11:24,4.569s,PASSED
"setText(findTestObject(""Object Repository/negative/input not found/input_Sign out_autoComplete""), ""charger"")",Chrome 121.0.0.0,,,12-02-2024 14:11:24,12-02-2024 14:11:26,1.474s,PASSED
"sendKeys(findTestObject(""Object Repository/negative/input not found/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 14:11:26,12-02-2024 14:11:40,14.269s,PASSED
"if (verifyElementNotVisible(findTestObject(""Object Repository/positive/pencarian/popup_element"")))",Chrome 121.0.0.0,,,12-02-2024 14:11:40,12-02-2024 14:11:51,10.307s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 14:11:51,12-02-2024 14:11:51,0.297s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 14:11:53,12-02-2024 14:11:53,0.004s,PASSED
