Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pencarian_positive,Chrome 121.0.0.0,,,12-02-2024 14:12:03,12-02-2024 14:17:53,5m - 50.542s,PASSED
,,,,,,,
Test Cases/positive/pencarian/data produk,Chrome 121.0.0.0,,,12-02-2024 14:12:03,12-02-2024 14:13:22,1m - 18.326s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 14:12:04,12-02-2024 14:12:07,3.163s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 14:12:07,12-02-2024 14:12:07,0.174s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 14:12:07,12-02-2024 14:12:12,4.401s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 14:12:12,12-02-2024 14:12:16,4.691s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), namaProduk)",Chrome 121.0.0.0,,,12-02-2024 14:12:16,12-02-2024 14:12:18,1.638s,PASSED
delay(5),Chrome 121.0.0.0,,,12-02-2024 14:12:18,12-02-2024 14:12:23,5.104s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 14:12:23,12-02-2024 14:12:54,30.500s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/data driven/card_result""), 5)",Chrome 121.0.0.0,,,12-02-2024 14:12:54,12-02-2024 14:13:18,24.638s,PASSED
"click(findTestObject(""Object Repository/data driven/card_result""))",Chrome 121.0.0.0,,,12-02-2024 14:13:18,12-02-2024 14:13:19,0.688s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 14:13:19,12-02-2024 14:13:19,0.347s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 14:13:22,12-02-2024 14:13:22,0.005s,PASSED
,,,,,,,
Test Cases/positive/pencarian/data produk,Chrome 121.0.0.0,,,12-02-2024 14:13:22,12-02-2024 14:15:06,1m - 43.735s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 14:13:22,12-02-2024 14:13:23,1.364s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 14:13:23,12-02-2024 14:13:23,0.139s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 14:13:23,12-02-2024 14:13:28,4.700s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 14:13:28,12-02-2024 14:13:33,4.781s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), namaProduk)",Chrome 121.0.0.0,,,12-02-2024 14:13:33,12-02-2024 14:13:35,1.899s,PASSED
delay(5),Chrome 121.0.0.0,,,12-02-2024 14:13:35,12-02-2024 14:13:40,5.022s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 14:13:40,12-02-2024 14:14:10,30.411s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/data driven/card_result""), 5)",Chrome 121.0.0.0,,,12-02-2024 14:14:10,12-02-2024 14:14:41,30.331s,PASSED
"click(findTestObject(""Object Repository/data driven/card_result""))",Chrome 121.0.0.0,,,12-02-2024 14:14:41,12-02-2024 14:15:03,22.488s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 14:15:03,12-02-2024 14:15:03,0.351s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 14:15:06,12-02-2024 14:15:06,0.002s,PASSED
,,,,,,,
Test Cases/positive/pencarian/data produk,Chrome 121.0.0.0,,,12-02-2024 14:15:06,12-02-2024 14:16:30,1m - 24.836s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 14:15:06,12-02-2024 14:15:07,1.356s,PASSED
